		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	LABELS	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)	log(Fertility) (t)
																					
norme_dest	Emigrants' Residence Norm (t)	0.307**					0.175					-1.364***					-1.094***				
		[0.152]					[0.134]					[0.420]					[0.357]				
norme_ori	Immigrants' Birthplace Norm (t)	0.157					0.0619					2.504***					2.037***				
		[0.120]					[0.0940]					[0.345]					[0.334]				
norm_dest_x_lnp_pop	Emigrants' Residence Norm (t) * Share of Emigrants(t)	-0.315					-0.152					0.0755					0.0836				
		[0.453]					[0.503]					[0.458]					[0.503]				
norm_ori_x_lnp_pop	Immigrants' Birthplace Norm (t)* Share of Immigrants (t)	0.686					1.007**					-0.552					-0.214				
		[0.530]					[0.491]					[0.789]					[0.699]				
lnp_pop_emigr	Share of Emigrants (t)	-2.123					-1.437					0.446					0.422				
		[1.769]					[1.913]					[1.794]					[1.971]				
lnp_pop_immigr	Share of Immigrants (t)	3.470*					4.442**					-1.999					-0.876				
		[1.985]					[1.843]					[3.147]					[2.733]				
lifeexpectancy15	Life Expectancy Age 15 (t)						-0.0340***										-0.0153*				
							[0.00932]										[0.00905]				
mortalityratio_1	Infant Mortality (t)						-0.877***										-0.233				
							[0.322]										[0.313]				
urban	log(Urban) (t)						-0.118										0.0753				
							[0.128]										[0.129]				
lnp_industrie	log(Industries) (t)						-0.00379										0.000856				
							[0.00621]										[0.00583]				
lnp_professionsliberales	log(Professionals) (t)						0.00222										-0.00294				
							[0.0102]										[0.00931]				
lnwomen_education_10yb	log(Female Education (t))						-0.0433										-0.0134				
							[0.0331]										[0.0337]				
lnmen_education_10yb	log(Male Education (t))						0.0187										0.00104				
							[0.0473]										[0.0419]				
lnpropfillescongreganistes	log(Share of Girls in Primary Catholic Schools) (t)						0.00642										-0.00584				
							[0.0166]										[0.0149]				
lnpropgarconscongreganistes	log(Share of Boys in Primary Catholic Schools) (t)						0.0385***										0.0312**				
							[0.0139]										[0.0137]				
revuedesdeuxmondes_newsstand	Revue des Deux Mondes Outlets						0.0124										0.0442				
							[0.150]										[0.152]				
rd2M_fecParis	Revue des Deux Mondes Outlets* Fertility of Seine						0.00243										0.0149				
							[0.0380]										[0.0385]				
totalnumberofperiodicals	Total Number of Periodicals						-0.0165										-0.0174				
							[0.0128]										[0.0135]				
_Iannee_obs_1871	annee_obs==1871	0.0208*					0.0304										-0.266*				
		[0.0119]					[0.0224]										[0.139]				
_Iannee_obs_1881	annee_obs==1881	-0.00762					0.0453					0.000297					-0.224*				
		[0.0170]					[0.0313]					[0.0237]					[0.124]				
_Iannee_obs_1891	annee_obs==1891	-0.0700*					-0.00443					0.0178					-0.205*				
		[0.0353]					[0.0510]					[0.0481]					[0.116]				
_Iannee_obs_1901	annee_obs==1901	-0.0569					0.0225					-0.0197					-0.213*				
		[0.0425]					[0.0559]					[0.0578]					[0.110]				
_Iannee_obs_1911	annee_obs==1911	-0.131**					0.392***					-0.0174									
		[0.0620]					[0.130]					[0.0980]									
_nl_1			0.488	0.857	-0.139	-1.878		0.263	0.413	-0.372	-2.756**		-1.408***	-0.206	2.742***	1.508		-1.143**	-0.228	2.129***	0.584
			[0.378]	[1.233]	[0.306]	[1.452]		[0.399]	[1.368]	[0.279]	[1.343]		[0.542]	[1.245]	[0.562]	[2.154]		[0.524]	[1.368]	[0.538]	[1.909]
_Iannee_obs_1861	annee_obs==1861											0.0218					-0.250*				
												[0.0138]					[0.143]				
o._Iannee_obs_1871	annee_obs==1871 = o,											-									
																					
o._Iannee_obs_1911	annee_obs==1911 = o,																-				
																					
Constant	Constant	-1.954***					-0.909					0.471					0.828				
		[0.581]					[0.794]					[0.847]					[1.038]				
																					
Observations		480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480	480
R-squared		0.793					0.813					0.810					0.820				
Number of dptresid		80					80					80					80				
Within R2		0.8					0.813					0.8					0.820				
Adjusted R2		0.8					0.804					0.8					0.811				
F-stat		117.5					84.877					126.3					92.625				
Prob>F-stat		0.0					0.000					0.0					0.000				
Robust standard errors in brackets																					
*** p<0.01, ** p<0.05, * p<0.1																					
